CountryOrTerritory,StationName,StationCode,StationType,StationArea,PollutantCode,Pollutant,Latitude,Longitude,Altitude,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,MeasurementMethodCode,MeasurementMethod,OperationYear,PollutantType,isAir
Germany,Mönchengladbach Düsseldorfer Straße,DENW100,Traffic,Urban,PTAC010,Cadmium in PM10 ,51.169959999999996,6.45889,207.0,Continuous data collection,2007-12-31T23:00:01Z,2016-12-31T24:00:00+01:00,PMME031,Beta ray attenuation,2007,aerosol,0
Germany,Coburg/Lossaustraße,DEBY014,Traffic,Urban,PTAC045,Nitrogen oxides ,50.260578,10.959311999999999,12.0,Continuous data collection,1987-01-31T23:00:01Z,2012-01-13T24:00:00+01:00,PMME045,Chemiluminescence,1987,air,1
Germany,Paderborn-Schloss Neuhaus,DENW363,Traffic,Urban,PTAC043,Nitrogen dioxide ,51.74366,8.71182,203.0,Continuous data collection,2014-12-31T23:00:01Z,Not Specified,PMME031,Beta ray attenuation,2014,air,1
Germany,Augsburg/LfU,DEBY099,Background,Suburban,PTAC039,Nickel in PM10 ,48.326013,10.903051,198.0,Continuous data collection,2018-12-31T23:00:01Z,Not Specified,PMME028,Non-dispersive infrared spectroscopy (NDIR),2018,aerosol,0
Germany,Saalfeld,DETH005,Background,Urban,PTAC051,Particulate matter < 10 µm ,50.651182,11.368875,210.0,Continuous data collection,2011-06-15T23:00:01Z,Not Specified,PMME041,Nephelometry + BETA,2011,aerosol,0
Germany,Regensburg/Rathaus,DEBY063,Traffic,Urban,PTAC043,Nitrogen dioxide ,49.015245,12.101557000000001,570.0,Continuous data collection,1991-09-30T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1991,air,1
Germany,Fürth/Theresienstraße,DEBY056,Traffic,Urban,PTAC015,Carbon monoxide ,49.47221,10.984705,65.0,Continuous data collection,1990-10-31T23:00:01Z,2013-07-08T24:00:00+01:00,PMME053,Infrared gas filter correlation,1990,air,1
Germany,Waldhof,DEUB005,Background,Rural,PTAC034,Mercury in PM2.5 ,52.800773,10.756733,76.0,Continuous data collection,2008-12-31T23:00:01Z,2013-12-31T24:00:00+01:00,PMME024,Light absorption,2008,aerosol,0
Germany,Frankfurt-Sindlingen,DEHE009,Background,Urban,PTAC033,Manganese in PM10 ,50.080726,8.515592,570.0,Continuous data collection,2011-12-31T23:00:01Z,2014-12-31T24:00:00+01:00,PMME045,Chemiluminescence,2011,aerosol,0
Germany,Naila/Selbitzer Berg,DEBY047,Background,Rural-Near_city,PTAC043,Nitrogen dioxide ,50.323245,11.721605,12.0,Continuous data collection,1997-05-14T23:00:01Z,2012-02-06T24:00:00+01:00,PMME045,Chemiluminescence,1997,air,1
Germany,Karlsruhe-Mitte,DEBW001,Traffic,Urban,PTAC049,Ozone ,49.010114,8.418378,11.0,Continuous data collection,1975-12-31T23:00:01Z,2010-12-31T24:00:00+01:00,PMME056,Ultraviolet (UV) photometry,1975,air,1
Germany,Zwickau-Werdauer Str.,DESN091,Traffic,Urban,PTAC045,Nitrogen oxides ,50.720405,12.486621000000001,15.0,Continuous data collection,2012-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2012,air,1
Germany,Neuglobsow,DEUB030,Background,Rural-Regional,PTAC059,sodium in PM2.5 ,53.141303,13.031661999999999,212.0,Continuous data collection,2010-12-31T23:00:01Z,2011-12-31T24:00:00+01:00,PMME031,Beta ray attenuation,2010,aerosol,0
Germany,Kulmbach/Konrad-Adenauer-Straße,DEBY032,Background,Urban,PTAC045,Nitrogen oxides ,50.103134999999995,11.442591,196.0,Continuous data collection,1992-06-30T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1992,air,1
Germany,Bottrop (Kokerei 2),DENW119,Industrial,Urban,PTAC048,o-Xylene ,51.521008,6.970378,14.0,Continuous data collection,2000-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2000,air,1
Germany,Aalen,DEBW029,Background,Suburban,PTAC010,Cadmium in PM10 ,48.847916999999995,10.096292,11.0,Continuous data collection,2015-12-31T23:00:01Z,2016-12-31T24:00:00+01:00,PMME064,Light scattering,2015,aerosol,0
Germany,Ulm,DEBW019,Background,Urban,PTAC010,Cadmium in PM10 ,48.396836,9.979030999999999,195.0,Continuous data collection,2007-12-31T23:00:01Z,2015-12-31T24:00:00+01:00,PMME028,Non-dispersive infrared spectroscopy (NDIR),2007,aerosol,0
Germany,Leipzig Lützner Str.,DESN077,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,51.335871999999995,12.334686,211.0,Continuous data collection,2000-12-31T23:00:01Z,2012-12-31T24:00:00+01:00,PMME019,Tapered Element Oscillating Microbalance (TEOM),2000,aerosol,0
Germany,Würzburg/Kopfklinik,DEBY077,Background,Suburban,PTAC052,Particulate matter < 2.5 µm ,49.804695,9.95642,12.0,Continuous data collection,2013-11-04T23:00:01Z,Not Specified,PMME041,Nephelometry + BETA,2013,aerosol,0
Germany,Darmstadt Heinrichstr. 5-7,DEHE138,Traffic,Urban,PTAC043,Nitrogen dioxide ,49.8654,8.648409,12.0,Continuous data collection,2017-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2017,air,1
Germany,Neuglobsow,DEUB030,Background,Rural-Regional,PTAC042,Nitrate in PM2.5 ,53.141303,13.031661999999999,76.0,Continuous data collection,2013-12-31T23:00:01Z,Not Specified,PMME024,Light absorption,2013,aerosol,0
Germany,Pirmasens-Innenstadt,DERP060,Background,Urban,PTAC049,Ozone ,49.191996,7.614573,14.0,Continuous data collection,2014-12-31T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,2014,air,1
Germany,Leipzig-West,DESN059,Background,Urban,PTAC051,Particulate matter < 10 µm ,51.317904999999996,12.297411,619.0,Continuous data collection,2012-12-31T23:00:01Z,Not Specified,PMME019,Tapered Element Oscillating Microbalance (TEOM),2012,aerosol,0
Germany,Berlin Herrmannplatz,DEBE097,Traffic,Urban,PTAC043,Nitrogen dioxide ,52.487391,13.424705,11.0,Continuous data collection,2017-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2017,air,1
Germany,"Premnitz, OT Döberitz",DEBB088,Industrial,Suburban,PTAC044,Nitrogen monoxide ,52.52401,12.370161999999999,555.0,Continuous data collection,2013-03-05T23:00:01Z,2014-12-31T24:00:00+01:00,PMME045,Chemiluminescence,2013,air,1
Germany,Riedstadt,DEHE043,Background,Rural-Near_city,PTAC028,Lead in PM10 ,49.825165000000005,8.516798,571.0,Continuous data collection,2000-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2000,aerosol,0
Germany,"Premnitz, OT Döberitz",DEBB088,Industrial,Suburban,PTAC039,Nickel in PM10 ,52.52401,12.370161999999999,190.0,Continuous data collection,2013-12-31T23:00:01Z,2014-09-04T24:00:00+01:00,PMME024,Light absorption,2013,aerosol,0
Germany,Potsdam Zeppelinstr.,DEBB054,Traffic,Urban,PTAC010,Cadmium in PM10 ,52.393932,13.037474000000001,188.0,Continuous data collection,2015-12-31T23:00:01Z,2016-08-31T24:00:00+01:00,PMME024,Light absorption,2015,aerosol,0
Germany,Barbis-Verkehr,DENI071,Traffic,Suburban,PTAC051,Particulate matter < 10 µm ,51.61365,10.42275,13.0,Continuous data collection,2018-10-01T23:00:01Z,2018-12-31T24:00:00+01:00,PMME064,Light scattering,2018,aerosol,0
Germany,Schauinsland,DEUB004,Background,Rural-Regional,PTAC002,1.3 Butadiene ,47.913256,7.908035000000001,15.0,Continuous data collection,2016-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2016,air,1
Germany,Fulda-Zentral,DEHE134,Background,Urban,PTAC051,Particulate matter < 10 µm ,50.546384,9.680166999999999,67.0,Continuous data collection,2016-12-31T23:00:01Z,Not Specified,PMME041,Nephelometry + BETA,2016,aerosol,0
