CountryOrTerritory,StationName,StationCode,StationType,StationArea,PollutantCode,Pollutant,Latitude,Longitude,Altitude,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,MeasurementMethodCode,MeasurementMethod,OperationYear,PollutantType,isAir
Germany,Heilbronn Weinsberger Straße-Ost,DEBW152,Traffic,Urban,PTAC043,Nitrogen dioxide ,49.146,9.22589,12.0,Continuous data collection,2008-12-31T23:00:01Z,2011-12-31T24:00:00+01:00,PMME064,Light scattering,2008,air,1
Germany,Rostock-Holbeinplatz,DEMV022,Traffic,Urban,PTAC027,indeno_123cd_pyrene in PM10 ,54.09262,12.099553,13.0,Continuous data collection,2008-01-24T23:00:01Z,2015-12-31T24:00:00+01:00,PMME064,Light scattering,2008,aerosol,0
Germany,Kellerwald,DEHE060,Background,Rural-Regional,PTAC044,Nitrogen monoxide ,51.154843,9.031754,68.0,Continuous data collection,2005-10-08T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2005,air,1
Germany,Königs Wusterhausen,DEBB082,Background,Suburban,PTAC045,Nitrogen oxides ,52.294633000000005,13.619784,550.0,Continuous data collection,2008-03-19T23:00:01Z,2014-01-03T24:00:00+01:00,PMME045,Chemiluminescence,2008,air,1
Germany,Altenburg Theaterplatz,DETH011,Background,Urban,PTAC028,Lead in PM10 ,50.987758,12.437621,75.0,Continuous data collection,2018-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2018,aerosol,0
Germany,Annaberg-Buchholz,DESN001,Background,Urban,PTAC045,Nitrogen oxides ,50.570871999999994,12.997278,15.0,Continuous data collection,2012-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2012,air,1
Germany,Schauinsland,DEUB004,Background,Rural-Regional,PTAC043,Nitrogen dioxide ,47.913256,7.908035000000001,15.0,Continuous data collection,2001-12-31T23:00:01Z,2014-12-31T24:00:00+01:00,PMME064,Light scattering,2001,air,1
Germany,Rostock Am Strande,DEMV020,Traffic,Urban,PTAC045,Nitrogen oxides ,54.092278,12.141994,13.0,Continuous data collection,2005-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2005,air,1
Germany,Jüchen-Hochneukirch,DENW337,Industrial,Rural-Near_city,PTAC051,Particulate matter < 10 µm ,51.097638,6.469462999999999,610.0,Continuous data collection,2014-01-05T23:00:01Z,2016-12-31T24:00:00+01:00,PMME044,UV fluorescence,2014,aerosol,0
Germany,Bamberg/Löwenbrücke,DEBY009,Background,Urban,PTAC015,Carbon monoxide ,49.89833,10.887686,193.0,Continuous data collection,1977-12-31T23:00:01Z,2013-07-08T24:00:00+01:00,PMME053,Infrared gas filter correlation,1977,air,1
Germany,Freiberg,DESN017,Background,Urban,PTAC044,Nitrogen monoxide ,50.9163,13.346826,209.0,Continuous data collection,1994-08-31T23:00:01Z,2012-12-31T24:00:00+01:00,PMME045,Chemiluminescence,1994,air,1
Germany,Gelsenkirchen-Bismarck,DENW022,Background,Suburban,PTAC043,Nitrogen dioxide ,51.533640000000005,7.101868,200.0,Continuous data collection,2011-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2011,air,1
Germany,Lübeck Moislinger Allee,DESH053,Traffic,Urban,PTAC039,Nickel in PM10 ,53.862237,10.67332,619.0,Continuous data collection,2015-12-31T23:00:01Z,2016-12-31T24:00:00+01:00,PMME044,UV fluorescence,2015,aerosol,0
Germany,Mainz-Zitadelle,DERP009,Background,Urban,PTAC052,Particulate matter < 2.5 µm ,49.995016,8.273978999999999,15.0,Continuous data collection,2014-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2014,aerosol,0
Germany,Berlin Schildhornstraße,DEBE061,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,52.463611,13.31825,11.0,Continuous data collection,1999-03-31T23:00:01Z,2014-12-31T24:00:00+01:00,PMME031,Beta ray attenuation,1999,aerosol,0
Germany,Wittenberg/Dessauer Strasse,DEST092,Traffic,Urban,PTAC039,Nickel in PM10 ,51.867471,12.59827,210.0,Continuous data collection,2013-12-31T23:00:01Z,2014-12-31T24:00:00+01:00,PMME031,Beta ray attenuation,2013,aerosol,0
Germany,Pirmasens-Innenstadt,DERP060,Background,Urban,PTAC044,Nitrogen monoxide ,49.191996,7.614573,624.0,Continuous data collection,2014-12-09T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2014,air,1
Germany,Emsland,DENI043,Background,Suburban,PTAC052,Particulate matter < 2.5 µm ,52.49855,7.31747,581.0,Continuous data collection,2009-12-31T23:00:01Z,2019-12-10T24:00:00+01:00,PMME041,Nephelometry + BETA,2009,aerosol,0
Germany,Potsdam-Zentrum,DEBB021,Background,Urban,PTAC005,Ammonium in PM10 ,52.401352,13.059944999999999,64.0,Continuous data collection,2012-12-31T23:00:01Z,2013-12-27T24:00:00+01:00,PMME064,Light scattering,2012,aerosol,0
Germany,Nürnberg/Bahnhof,DEBY053,Traffic,Urban,PTAC044,Nitrogen monoxide ,49.44591,11.088444,197.0,Continuous data collection,1986-08-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1986,air,1
Germany,Ludwigshafen-Mundenheim,DERP003,Industrial,Urban,PTAC051,Particulate matter < 10 µm ,49.455508,8.425897,203.0,Periodic data collection,2000-12-31T23:00:01Z,2011-05-31T24:00:00+01:00,PMME031,Beta ray attenuation,2000,aerosol,0
Germany,Reutlingen Lederstraße-Ost,DEBW147,Traffic,Urban,PTAC044,Nitrogen monoxide ,48.489329999999995,9.21079,65.0,Continuous data collection,2007-03-20T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2007,air,1
Germany,Possen,DETH042,Background,Rural-Remote,PTAC044,Nitrogen monoxide ,51.333333,10.867188,210.0,Continuous data collection,1996-01-11T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1996,air,1
Germany,Hattingen-Blankenstein,DENW029,Background,Suburban,PTAC044,Nitrogen monoxide ,51.403007,7.208546000000001,200.0,Continuous data collection,1986-11-30T23:00:01Z,2011-12-31T24:00:00+01:00,PMME045,Chemiluminescence,1986,air,1
Germany,Zingst,DEUB028,Background,Rural,PTAC013,calcium in PM2.5 ,54.436985,12.721938,16.0,Continuous data collection,2010-12-31T23:00:01Z,2013-12-31T24:00:00+01:00,PMME064,Light scattering,2010,aerosol,0
Germany,Neuglobsow,DEUB030,Background,Rural-Regional,PTAC068,Vanedium in PM10 ,53.141303,13.031661999999999,76.0,Continuous data collection,2003-12-31T23:00:01Z,Not Specified,PMME024,Light absorption,2003,aerosol,0
Germany,Bielefeld-Ost,DENW067,Background,Urban,PTAC051,Particulate matter < 10 µm ,52.023154999999996,8.548362,590.0,Continuous data collection,2002-12-31T23:00:01Z,2011-12-31T24:00:00+01:00,PMME041,Nephelometry + BETA,2002,aerosol,0
Germany,Leipzig-Mitte,DESN025,Traffic,Urban,PTAC028,Lead in PM10 ,51.344164,12.377163000000001,617.0,Continuous data collection,1998-01-14T23:00:01Z,Not Specified,PMME044,UV fluorescence,1998,aerosol,0
Germany,Dortmund-Eving,DENW008,Background,Urban,PTAC052,Particulate matter < 2.5 µm ,51.536893,7.457408999999999,70.0,Continuous data collection,2011-01-11T23:00:01Z,2011-12-31T24:00:00+01:00,PMME041,Nephelometry + BETA,2011,aerosol,0
Germany,Schwabach/Angerstraße,DEBY188,Background,Urban,PTAC049,Ozone ,49.32273,11.02792,12.0,Continuous data collection,2012-06-30T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,2012,air,1
Germany,Regensburg/Rathaus,DEBY063,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,49.015245,12.101557000000001,12.0,Continuous data collection,2000-01-31T23:00:01Z,Not Specified,PMME031,Beta ray attenuation,2000,aerosol,0
Germany,Bebra,DEHE032,Background,Urban,PTAC051,Particulate matter < 10 µm ,50.970024,9.80026,199.0,Continuous data collection,2011-11-24T23:00:01Z,Not Specified,PMME041,Nephelometry + BETA,2011,aerosol,0
Germany,Rostock-Stuthof,DEMV007,Background,Suburban,PTAC049,Ozone ,54.16155500000001,12.174105,68.0,Continuous data collection,1992-12-31T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,1992,air,1
Germany,Heppenheim-Lehrstraße,DEHE063,Traffic,Urban,PTAC045,Nitrogen oxides ,49.643238000000004,8.642000000000001,68.0,Continuous data collection,2010-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2010,air,1
Germany,Hannover,DENI054,Background,Urban,PTAC009,Benzene ,52.36292,9.70612,581.0,Continuous data collection,2007-12-31T23:00:01Z,2013-12-31T24:00:00+01:00,PMME045,Chemiluminescence,2007,air,1
Germany,Bernhausen,DEBW042,Background,Suburban,PTAC009,Benzene ,48.678069,9.227769,195.0,Continuous data collection,2010-12-31T23:00:01Z,2016-12-31T24:00:00+01:00,PMME028,Non-dispersive infrared spectroscopy (NDIR),2010,air,1
Germany,Saarbrücken-City,DESL012,Background,Urban,PTAC052,Particulate matter < 2.5 µm ,49.233464,6.987601,208.0,Continuous data collection,2006-12-31T23:00:01Z,2018-12-31T24:00:00+01:00,PMME041,Nephelometry + BETA,2006,aerosol,0
Germany,Wörth-Marktplatz,DERP025,Background,Urban,PTAC015,Carbon monoxide ,49.052284,8.253538,74.0,Continuous data collection,1990-05-30T23:00:01Z,Not Specified,PMME053,Infrared gas filter correlation,1990,air,1
Germany,Bottrop Peterstraße,DENW201,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,51.519262,6.924268,205.0,Continuous data collection,2011-01-02T23:00:01Z,2011-12-12T24:00:00+01:00,PMME019,Tapered Element Oscillating Microbalance (TEOM),2011,aerosol,0
Germany,Pfälzerwald-Hortenkopf,DERP017,Background,Rural,PTAC043,Nitrogen dioxide ,49.270263,7.826407000000001,74.0,Continuous data collection,1985-12-31T23:00:01Z,2016-12-31T24:00:00+01:00,PMME045,Chemiluminescence,1985,air,1
Germany,Bottrop-Welheim,DENW021,Industrial,Urban,PTAC049,Ozone ,51.525954999999996,6.97688,200.0,Continuous data collection,1990-08-31T23:00:01Z,2011-12-31T24:00:00+01:00,PMME056,Ultraviolet (UV) photometry,1990,air,1
Germany,Kassel-Mitte,DEHE013,Background,Urban,PTAC043,Nitrogen dioxide ,51.314248,9.483397,570.0,Continuous data collection,1976-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1976,air,1
Germany,Hildesheim Verkehr,DENI066,Traffic,Urban,PTAC015,Carbon monoxide ,52.150775,9.950223,13.0,Continuous data collection,2019-01-14T23:00:01Z,Not Specified,PMME053,Infrared gas filter correlation,2019,air,1
Germany,"Brandenburg, Neuendorfer Str.",DEBB049,Traffic,Urban,PTAC032,magnesium in PM2.5 ,52.409309,12.548376,187.0,Continuous data collection,2016-12-31T23:00:01Z,2017-12-31T24:00:00+01:00,PMME024,Light absorption,2016,aerosol,0
Germany,Borna,DESN006,Traffic,Urban,PTAC043,Nitrogen dioxide ,51.125,12.493056,209.0,Continuous data collection,2012-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2012,air,1
Germany,Zittau-Ost,DESN045,Background,Suburban,PTAC028,Lead in PM10 ,50.892377,14.822845999999998,75.0,Continuous data collection,2018-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2018,aerosol,0
Germany,Frankfurt-Ost,DEHE008,Background,Urban,PTAC043,Nitrogen dioxide ,50.125332,8.746343,195.0,Continuous data collection,1984-02-29T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1984,air,1
Germany,Tiefenbach/Altenschneeberg,DEBY072,Background,Rural-Regional,PTAC049,Ozone ,49.438464,12.548869,12.0,Continuous data collection,1983-12-31T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,1983,air,1
Germany,Mannheim Friedrichsring,DEBW098,Traffic,Urban,PTAC010,Cadmium in PM10 ,49.49256,8.47204,12.0,Continuous data collection,2015-12-31T23:00:01Z,2016-12-31T24:00:00+01:00,PMME064,Light scattering,2015,aerosol,0
Germany,Andechs/Rothenfeld,DEBY109,Background,Rural-Regional,PTAC039,Nickel in PM10 ,47.968753,11.220172,566.0,Continuous data collection,2018-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2018,aerosol,0
Germany,Leizen,DEMV024,Background,Rural,PTAC051,Particulate matter < 10 µm ,53.396347999999996,12.463928999999998,13.0,Periodic data collection,2010-06-15T23:00:01Z,2013-12-31T24:00:00+01:00,PMME031,Beta ray attenuation,2010,aerosol,0
Germany,Wittenberg/Dessauer Strasse,DEST092,Traffic,Urban,PTAC007,Arsenic in PM10 ,51.867471,12.59827,75.0,Continuous data collection,2014-12-31T23:00:01Z,2015-12-31T24:00:00+01:00,PMME064,Light scattering,2014,aerosol,0
Germany,Mülheim-Styrum,DENW038,Background,Urban,PTAC010,Cadmium in PM10 ,51.453459,6.86505,69.0,Continuous data collection,2009-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2009,aerosol,0
Germany,Darmstadt,DEHE001,Background,Urban,PTAC062,Sulphur dioxide ,49.872303,8.664619,12.0,Continuous data collection,1995-07-31T23:00:01Z,Not Specified,PMME044,UV fluorescence,1995,air,1
Germany,Leverkusen Gustav-Heinemann-Straße,DENW355,Traffic,Urban,PTAC044,Nitrogen monoxide ,51.031473,7.010934,74.0,Continuous data collection,2015-01-06T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2015,air,1
Germany,IGWEST,DEHB010,Industrial,Suburban,PTAC010,Cadmium in PM10 ,53.150065000000005,8.71137,12.0,Continuous data collection,2019-01-31T23:00:01Z,Not Specified,PMME064,Light scattering,2019,aerosol,0
Germany,"Frankfurt (Oder), Leipziger Str.",DEBB045,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,52.337336,14.538595,11.0,Continuous data collection,2017-12-31T23:00:01Z,2018-12-31T24:00:00+01:00,PMME064,Light scattering,2017,aerosol,0
Germany,Hannover Verkehr,DENI048,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,52.359478,9.7155,70.0,Continuous data collection,2018-02-23T23:00:01Z,2018-12-31T24:00:00+01:00,PMME064,Light scattering,2018,aerosol,0
Germany,Altenburg Theaterplatz,DETH011,Background,Urban,PTAC044,Nitrogen monoxide ,50.987758,12.437621,210.0,Continuous data collection,1993-07-27T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1993,air,1
Germany,Cottbus,DEBB064,Background,Urban,PTAC030,"m,p-Xylene ",51.746848,14.334470000000001,11.0,Continuous data collection,2014-12-31T23:00:01Z,2015-12-31T24:00:00+01:00,PMME064,Light scattering,2014,air,1
Germany,Elsterwerda,DEBB007,Background,Suburban,PTAC009,Benzene ,51.462734000000005,13.526796,190.0,Continuous data collection,2012-12-31T23:00:01Z,2013-12-31T24:00:00+01:00,PMME024,Light absorption,2012,air,1
Germany,"Cottbus, W.-Külz-Str.",DEBB087,Traffic,Urban,PTAC052,Particulate matter < 2.5 µm ,51.754129999999996,14.325548999999999,11.0,Continuous data collection,2012-12-31T23:00:01Z,2014-12-31T24:00:00+01:00,PMME064,Light scattering,2012,aerosol,0
Germany,Duisburg Kardinal-Galen-Straße,DENW112,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,51.437686,6.771866999999999,71.0,Continuous data collection,2011-12-31T23:00:01Z,2013-08-12T24:00:00+01:00,PMME019,Tapered Element Oscillating Microbalance (TEOM),2011,aerosol,0
Germany,Göttingen,DENI042,Background,Suburban,PTAC063,Toluene ,51.55107,9.949760000000001,70.0,Continuous data collection,2007-12-31T23:00:01Z,2013-12-31T24:00:00+01:00,PMME064,Light scattering,2007,air,1
Germany,Horb Neckarstraße,DEBW202,Background,Suburban,PTAC043,Nitrogen dioxide ,48.469139,8.630253,12.0,Continuous data collection,2013-12-31T23:00:01Z,2014-12-31T24:00:00+01:00,PMME064,Light scattering,2013,air,1
Germany,Mainz-Mombach,DERP007,Background,Urban,PTAC015,Carbon monoxide ,50.01755,8.216803,604.0,Continuous data collection,1977-12-31T23:00:01Z,Not Specified,PMME053,Infrared gas filter correlation,1977,air,1
Germany,Braunschweig Verkehr_alt,DENI008,Traffic,Urban,PTAC043,Nitrogen dioxide ,52.263331,10.524609,70.0,Continuous data collection,2011-12-28T23:00:01Z,Not Specified,PMME064,Light scattering,2011,air,1
Germany,Münster Weseler Straße 14,DENW156,Traffic,Urban,PTAC063,Toluene ,51.95479,7.619733,14.0,Continuous data collection,2005-04-28T23:00:01Z,2011-01-07T24:00:00+01:00,PMME064,Light scattering,2005,air,1
Germany,Neuglobsow,DEUB030,Background,Rural-Regional,PTAC049,Ozone ,53.141303,13.031661999999999,16.0,Continuous data collection,2011-09-21T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,2011,air,1
Germany,Ludwigshafen-Heinigstraße,DERP041,Traffic,Urban,PTAC045,Nitrogen oxides ,49.478497999999995,8.44385,74.0,Continuous data collection,2000-10-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2000,air,1
Germany,Neuglobsow,DEUB030,Background,Rural-Regional,PTAC032,magnesium in PM2.5 ,53.141303,13.031661999999999,76.0,Continuous data collection,2010-12-31T23:00:01Z,2011-12-31T24:00:00+01:00,PMME024,Light absorption,2010,aerosol,0
Germany,Krautscheid / Seifen,DERP044,Industrial,Rural,PTAC051,Particulate matter < 10 µm ,50.699438,7.375278999999999,74.0,Continuous data collection,2000-12-14T23:00:01Z,Not Specified,PMME064,Light scattering,2000,aerosol,0
Germany,Weimar Steubenstr.,DETH083,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,50.977462,11.32607,625.0,Continuous data collection,2005-04-12T23:00:01Z,2013-04-24T24:00:00+01:00,PMME044,UV fluorescence,2005,aerosol,0
Germany,Unterharz / Friedrichsbrunn,DEST098,Background,Rural-Regional,PTAC051,Particulate matter < 10 µm ,51.662434999999995,11.043386,637.0,Continuous data collection,2013-01-23T23:00:01Z,Not Specified,PMME041,Nephelometry + BETA,2013,aerosol,0
Germany,Paderborn Friedrichstraße 29,DENW158,Traffic,Urban,PTAC030,"m,p-Xylene ",51.718775,8.747114999999999,71.0,Periodic data collection,2005-04-28T23:00:01Z,Not Specified,PMME064,Light scattering,2005,air,1
Germany,"Frankfurt (Oder), 1997-2014",DEBB042,Background,Suburban,PTAC043,Nitrogen dioxide ,52.339953,14.531918,187.0,Continuous data collection,1997-04-21T23:00:01Z,2014-05-05T24:00:00+01:00,PMME045,Chemiluminescence,1997,air,1
Germany,Gülzow,DEMV004,Background,Rural,PTAC027,indeno_123cd_pyrene in PM10 ,53.817775,12.064708,68.0,Continuous data collection,2003-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2003,aerosol,0
Germany,Schwarzwald-Süd,DEBW031,Background,Rural-Regional,PTAC009,Benzene ,47.809892,7.764528,195.0,Continuous data collection,1997-04-17T23:00:01Z,2016-12-31T24:00:00+01:00,PMME028,Non-dispersive infrared spectroscopy (NDIR),1997,air,1
Germany,Zingst,DEUB028,Background,Rural,PTAC055,potassium in PM2.5 ,54.436985,12.721938,214.0,Continuous data collection,2010-05-31T23:00:01Z,2010-12-31T24:00:00+01:00,PMME045,Chemiluminescence,2010,aerosol,0
Germany,Potsdam Zeppelinstr.,DEBB054,Traffic,Urban,PTAC039,Nickel in PM10 ,52.393932,13.037474000000001,11.0,Continuous data collection,2013-12-31T23:00:01Z,2015-12-31T24:00:00+01:00,PMME064,Light scattering,2013,aerosol,0
Germany,Spreewald,DEBB066,Background,Rural-Regional,PTAC043,Nitrogen dioxide ,51.897597999999995,14.057064000000002,191.0,Continuous data collection,2003-04-17T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2003,air,1
Germany,Stuttgart Arnulf-Klett-Platz,DEBW099,Traffic,Urban,PTAC028,Lead in PM10 ,48.78313,9.180719999999999,569.0,Continuous data collection,2014-12-31T23:00:01Z,2015-12-31T24:00:00+01:00,PMME045,Chemiluminescence,2014,aerosol,0
Germany,Bochum-Stahlhausen,DENW117,Industrial,Urban,PTAC028,Lead in PM10 ,51.482541999999995,7.186095,600.0,Continuous data collection,2002-01-27T23:00:01Z,2016-12-31T24:00:00+01:00,PMME045,Chemiluminescence,2002,aerosol,0
Germany,Duisburg-Bruckhausen,DENW338,Industrial,Urban,PTAC052,Particulate matter < 2.5 µm ,51.485492,6.735431,610.0,Continuous data collection,2013-12-31T23:00:01Z,Not Specified,PMME031,Beta ray attenuation,2013,aerosol,0
Germany,Braunschweig,DENI011,Background,Suburban,PTAC049,Ozone ,52.22694,10.47364,13.0,Continuous data collection,2009-12-31T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,2009,air,1
Germany,München/Johanneskirchen,DEBY089,Background,Suburban,PTAC052,Particulate matter < 2.5 µm ,48.173194,11.648036,198.0,Continuous data collection,2011-11-28T23:00:01Z,Not Specified,PMME041,Nephelometry + BETA,2011,aerosol,0
Germany,"Bernau, Lohmühlenstr.",DEBB068,Traffic,Urban,PTAC039,Nickel in PM10 ,52.677651000000004,13.582269,65.0,Continuous data collection,2019-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2019,aerosol,0
Germany,Hagen Graf-von-Galen-Ring,DENW133,Traffic,Urban,PTAC048,o-Xylene ,51.362818,7.46355,14.0,Continuous data collection,2008-01-31T23:00:01Z,2017-12-31T24:00:00+01:00,PMME064,Light scattering,2008,air,1
Germany,Borken-Gemen,DENW081,Background,Rural-Near_city,PTAC062,Sulphur dioxide ,51.862041999999995,6.874469,593.0,Continuous data collection,2011-12-31T23:00:01Z,2019-01-04T24:00:00+01:00,PMME044,UV fluorescence,2011,air,1
Germany,Schwerte Holzener Weg,DENW282,Industrial,Urban,PTAC039,Nickel in PM10 ,51.444140000000004,7.555,71.0,Continuous data collection,2009-07-01T23:00:01Z,2010-12-31T24:00:00+01:00,PMME064,Light scattering,2009,aerosol,0
Germany,Herzfelde (Rüdersdorf),DEBB081,Industrial,Rural-Near_city,PTAC043,Nitrogen dioxide ,52.497549,13.849006,545.0,Continuous data collection,2007-09-23T23:00:01Z,2010-06-08T24:00:00+01:00,PMME045,Chemiluminescence,2007,air,1
Germany,Carlsfeld,DESN049,Background,Rural-Remote,PTAC049,Ozone ,50.431321999999994,12.611125,617.0,Continuous data collection,2012-12-31T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,2012,air,1
Germany,Westpfalz-Waldmohr,DERP013,Background,Rural,PTAC049,Ozone ,49.423116,7.293543,210.0,Continuous data collection,1983-12-31T23:00:01Z,Not Specified,PMME056,Ultraviolet (UV) photometry,1983,air,1
Germany,Luckenwalde,DEBB109,Background,Urban,PTAC043,Nitrogen dioxide ,52.089678,13.174949,11.0,Continuous data collection,2019-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2019,air,1
Germany,Ulm,DEBW019,Background,Urban,PTAC028,Lead in PM10 ,48.396836,9.979030999999999,11.0,Continuous data collection,2015-12-31T23:00:01Z,2016-12-31T24:00:00+01:00,PMME064,Light scattering,2015,aerosol,0
Germany,Lübeck Fackenburger Allee,DESH055,Traffic,Urban,PTAC044,Nitrogen monoxide ,53.87453000000001,10.664881,15.0,Continuous data collection,2014-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2014,air,1
Germany,Bielefeld Detmolder Straße,DENW200,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,52.00562,8.55279,615.0,Continuous data collection,2014-12-31T23:00:01Z,Not Specified,PMME041,Nephelometry + BETA,2014,aerosol,0
Germany,Saarbrücken-Eschberg,DESL011,Background,Urban,PTAC044,Nitrogen monoxide ,49.237227000000004,7.036322,620.0,Continuous data collection,1983-06-30T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1983,air,1
Germany,Erfurt Krämpferstr.,DETH020,Background,Urban,PTAC007,Arsenic in PM10 ,50.979455,11.037924,75.0,Continuous data collection,2010-12-31T23:00:01Z,2011-12-31T24:00:00+01:00,PMME064,Light scattering,2010,aerosol,0
Germany,Frankfurt-Schwanheim,DEHE135,Background,Urban,PTAC043,Nitrogen dioxide ,50.075464000000004,8.576305,67.0,Continuous data collection,2017-08-01T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2017,air,1
Germany,Landshut/Podewilsstraße,DEBY033,Traffic,Urban,PTAC007,Arsenic in PM10 ,48.539801000000004,12.157051,196.0,Continuous data collection,2011-12-31T23:00:01Z,2012-12-31T24:00:00+01:00,PMME028,Non-dispersive infrared spectroscopy (NDIR),2011,aerosol,0
Germany,Nürnberg/Von-der-Tann-Straße,DEBY120,Traffic,Urban,PTAC009,Benzene ,49.440478000000006,11.036096,573.0,Continuous data collection,2012-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2012,air,1
Germany,Zingst,DEUB028,Background,Rural,PTAC042,Nitrate in PM2.5 ,54.436985,12.721938,660.0,Continuous data collection,2010-05-31T23:00:01Z,2010-12-31T24:00:00+01:00,PMME056,Ultraviolet (UV) photometry,2010,aerosol,0
Germany,Schauinsland,DEUB004,Background,Rural-Regional,PTAC038,n-Hexane ,47.913256,7.908035000000001,75.0,Continuous data collection,2015-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2015,air,1
Germany,Halle/Riebeckplatz,DEST133,Traffic,Urban,PTAC052,Particulate matter < 2.5 µm ,51.475778000000005,11.98385,75.0,Periodic data collection,2019-05-31T23:00:01Z,2019-12-31T24:00:00+01:00,PMME041,Nephelometry + BETA,2019,aerosol,0
Germany,Recklinghausen Bochumer Straße,DENW220,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,51.577442,7.213413,610.0,Continuous data collection,2007-12-18T23:00:01Z,2011-01-05T24:00:00+01:00,PMME019,Tapered Element Oscillating Microbalance (TEOM),2007,aerosol,0
Germany,Berlin Herrmannplatz,DEBE097,Traffic,Urban,PTAC043,Nitrogen dioxide ,52.487391,13.424705,65.0,Continuous data collection,2006-12-31T23:00:01Z,2017-12-31T24:00:00+01:00,PMME064,Light scattering,2006,air,1
Germany,Görlitz,DESN020,Traffic,Urban,PTAC027,indeno_123cd_pyrene in PM10 ,51.155801000000004,14.973957999999998,209.0,Continuous data collection,1998-02-02T23:00:01Z,Not Specified,PMME031,Beta ray attenuation,1998,aerosol,0
Germany,Neuglobsow,DEUB030,Background,Rural-Regional,PTAC006,Ammonium in PM2.5 ,53.141303,13.031661999999999,650.0,Continuous data collection,2010-05-31T23:00:01Z,2010-12-31T24:00:00+01:00,PMME056,Ultraviolet (UV) photometry,2010,aerosol,0
Germany,Dallgow-Döberitz,DEBB110,Background,Suburban,PTAC043,Nitrogen dioxide ,52.539504,13.048779,11.0,Continuous data collection,2019-06-18T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2019,air,1
Germany,Solling,DENI019,Background,Rural,PTAC045,Nitrogen oxides ,51.759751,9.577714,200.0,Continuous data collection,1985-10-10T23:00:01Z,2010-03-02T24:00:00+01:00,PMME045,Chemiluminescence,1985,air,1
Germany,Weil am Rhein,DEBW023,Background,Suburban,PTAC051,Particulate matter < 10 µm ,47.588152,7.633271000000001,195.0,Continuous data collection,1999-03-30T23:00:01Z,Not Specified,PMME028,Non-dispersive infrared spectroscopy (NDIR),1999,aerosol,0
Germany,Stuttgart Am Neckartor,DEBW118,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,48.7881,9.19101,570.0,Continuous data collection,2017-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2017,aerosol,0
Germany,Aschaffenburg/Bussardweg,DEBY005,Background,Suburban,PTAC051,Particulate matter < 10 µm ,49.991518,9.117973,12.0,Continuous data collection,2000-01-31T23:00:01Z,2012-09-11T24:00:00+01:00,PMME041,Nephelometry + BETA,2000,aerosol,0
